Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
1967,35,Get On Up,The Esquires,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,987,11,15
1967,36,Brown Eyed Girl,Van Morrison,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,985,10,16
1967,37,Ruby Tuesday,The Rolling Stones,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,982,1,12
1967,38,Your Precious Love,Marvin Gaye & Tammi Terrell,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,981,5,13
1967,39,Jimmy Mack,Martha & The Vandellas,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,980,10,14
1967,40,I Got Rhythm,The Happenings,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,979,3,13
1967,41,A Whiter Shade Of Pale,Procol Harum,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,977,5,12
1967,42,Love Is Here And Now You're Gone,The Supremes,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,955,1,11
1967,43,Don't You Care,The Buckinghams,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,953,6,14
1967,44,Then You Can Tell Me Goodbye,The Casinos,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,949,6,13
1967,45,On A Carousel,The Hollies,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,946,11,14
1967,46,Alfie,Dionne Warwick,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,944,15,17
1967,47,Silence Is Golden,The Tremeloes,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,938,11,14
1967,48,Reflections,Diana Ross & The Supremes,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,938,2,11
1967,49,My Cup Runneth Over,Ed Ames,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,936,8,13
1967,50,Carrie-Anne,The Hollies,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,930,9,13
1967,51,San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,929,4,12
1967,52,I've Been Lonely Too Long,The Young Rascals,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,917,16,14
1967,53,All You Need Is Love,The Beatles,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,915,1,11
1967,54,This Is My Song,Petula Clark,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,913,3,12
1967,55,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,912,6,12
1967,56,Up -- Up And Away,The 5th Dimension,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,911,7,12
1967,57,You're My Everything,The Temptations,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,906,6,12
1967,58,There's A Kind Of Hush,Herman's Hermits,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,904,4,12
1967,59,I Say A Little Prayer,Dionne Warwick,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,888,4,11
1967,60,Western Union,The Five Americans,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,883,5,12
1967,61,Baby I Love You,Aretha Franklin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,883,4,11
1967,62,"A Little Bit Me, A Little Bit You",The Monkees,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,878,2,10
1967,63,California Nights,Lesley Gore,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,872,16,14
1967,64,I Heard It Through The Grapevine,Gladys Knight And The Pips,R&B/Soul,https://cdn-images.dzcdn.net/images/cover/a2094551d4f7c96332664c9b520501e1/250x250-000000-80-0-0.jpg,868,2,11
1967,65,Dedicated To The One I Love,The Mamas & The Papas,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,865,2,10
1967,66,How Can I Be Sure,The Young Rascals,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,861,4,11
1967,67,(We Ain't Got) Nothin' Yet,Blues Magoos,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,859,5,10
1967,68,Baby I Need Your Lovin',Johnny Rivers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,857,3,11
1967,69,Friday On My Mind,The Easybeats,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,850,16,14
1967,70,Boogaloo Down Broadway,The Fantastic Johnny C,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,848,7,13
1967,71,Gimme Some Lovin',The Spencer Davis Group,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,847,7,12
1967,72,Soul Finger,Bar-Kays,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,847,17,15
1967,73,Let It Out (Let It All Hang Out),The Hombres,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,841,12,13
1967,74,Sock It To Me-Baby!,Mitch Ryder And The Detroit Wheels,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,839,6,11
1967,75,Let's Live For Today,The Grass Roots,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,837,8,12
1967,76,Close Your Eyes,Peaches & Herb,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,836,8,12
1967,77,I Can See For Miles,The Who,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,831,9,11
1967,78,Pleasant Valley Sunday,The Monkees,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,830,3,10
1967,79,Funky Broadway,Wilson Pickett,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,830,8,12
1967,80,I Never Loved A Man (The Way I Love You),Aretha Franklin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,828,9,11
1967,81,Tell It Like It Is,Aaron Neville,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,816,2,9
1967,82,98.6,Keith,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,815,7,10
1967,83,Penny Lane,The Beatles,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,813,1,10
1967,84,Cold Sweat - Part 1,James Brown And The Famous Flames,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,808,7,12
1967,85,The Beat Goes On,Sonny & Cher,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,806,6,11
1967,86,She'd Rather Be With Me,The Turtles,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,806,3,11
1967,87,Little Ole Man (Uptight-Everything's Alright),Bill Cosby,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,805,4,11
1967,88,Here We Go Again,Ray Charles,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,802,15,12
1967,89,Bernadette,Four Tops,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,800,4,10
1967,90,Snoopy Vs. The Red Baron,The Royal Guardsmen,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,797,2,9
1967,91,Here Comes My Baby,The Tremeloes,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,797,13,12
1967,92,Society's Child (Baby I've Been Thinking),Janis Ian,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,792,14,12
1967,93,"Girl, You'll Be A Woman Soon",Neil Diamond,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,790,10,11
1967,94,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,R&B/Soul,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/9b/c1/cf/9bc1cf3a-84c7-474e-2d0f-2e4bd0327377/06UMGIM11763.rgb.jpg/100x100bb.jpg,789,19,12
1967,95,I Take It Back,Sandy Posey,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,788,12,12
1967,96,White Rabbit,Jefferson Airplane,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,785,8,10
1967,97,I Dig Rock And Roll Music,"Peter, Paul & Mary",Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,777,9,11
1967,98,Everlasting Love,Robert Knight,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,776,13,12
1967,99,Tramp,Otis & Carla,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,775,26,16
1967,100,I Had Too Much To Dream (Last Night),The Electric Prunes,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,765,11,10
1968,1,Little Green Apples,O.C. Smith,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1767,2,28
1968,2,I Wish It Would Rain,Gladys Knight And The Pips,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1644,4,24
1968,3,Sunshine Of Your Love,Cream,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1632,5,26
1968,4,Hey Jude,Wilson Pickett,Rock,https://charts-static.billboard.com/img/1964/01/the-beatles-dbn-180x180.jpg,1627,1,18
1968,5,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1519,2,22
1968,6,(Sittin' On) The Dock Of The Bay,Otis Redding,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1459,1,21
1968,7,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1455,1,18
1968,8,Fire,Five By Five,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1317,2,20
1968,9,Honey,Bobby Goldsboro,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1311,1,15
1968,10,Here Comes The Judge,Shorty Long,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1299,8,19
1968,11,Mony Mony,Tommy James And The Shondells,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1254,3,17
1968,12,People Got To Be Free,The Rascals,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1244,1,14
1968,13,Young Girl,The Union Gap Featuring Gary Puckett,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1243,2,15
1968,14,Tighten Up,Archie Bell & The Drells,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1226,1,15
1968,15,Cry Like A Baby,The Box Tops,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1216,2,15
1968,16,Stoned Soul Picnic,The 5th Dimension,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1215,3,16
1968,17,This Guy's In Love With You,Herb Alpert,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1212,1,14
1968,18,Those Were The Days,Mary Hopkin,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1176,2,14
1968,19,Midnight Confessions,The Grass Roots,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1165,5,15
1968,20,Harper Valley P.T.A.,Jeannie C. Riley,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1152,1,15
1968,21,Dance To The Music,Sly & The Family Stone,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1137,8,15
1968,22,The Horse,Cliff Nobles & Co.,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1135,2,14
1968,23,Mrs. Robinson,Simon & Garfunkel,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1134,1,13
1968,24,La - La - Means I Love You,The Delfonics,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1128,4,15
1968,25,"Turn Around, Look At Me",The Vogues,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1127,7,15
1968,26,Spooky,Classics IV,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1125,3,13
1968,27,Angel Of The Morning,Merrilee Rush & The Turnabouts,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1124,7,16
1968,28,The Ballad Of Bonnie And Clyde,Georgie Fame,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1113,7,14
1968,29,Born To Be Wild,Steppenwolf,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1092,2,13
1968,30,Cowboys To Girls,The Intruders,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1091,6,14
1968,31,Simon Says,1910 Fruitgum Co.,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1089,4,14
1968,32,Lady Willpower,Gary Puckett And The Union Gap,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1086,2,13
1968,33,Light My Fire,Jose Feliciano,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1084,3,18
1968,34,A Beautiful Morning,The Rascals,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1076,3,13
1968,35,The Look Of Love,Sergio Mendes & Brasil '66,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1075,4,14
1968,36,Love Is All Around,The Troggs,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1074,7,16
1968,37,Hold Me Tight,Johnny Nash,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1072,5,15
1968,38,I Heard It Through The Grapevine,Marvin Gaye,R&B/Soul,https://cdn-images.dzcdn.net/images/cover/a2094551d4f7c96332664c9b520501e1/250x250-000000-80-0-0.jpg,1070,1,12
1968,39,Yummy Yummy Yummy,Ohio Express,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1065,4,14
1968,40,Playboy,Gene And Debbe,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1063,17,16
1968,41,(Theme From) Valley Of The Dolls,Dionne Warwick,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1062,2,13
1968,42,Classical Gas,Mason Williams,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1058,2,14
1968,43,"Hello, I Love You",The Doors,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1047,1,12
1968,44,Slip Away,Clarence Carter,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1045,6,16
1968,45,Girl Watcher,The O'Kaysions,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1041,5,14
1968,46,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1040,5,12
1968,47,Magic Carpet Ride,Steppenwolf,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1027,3,13
1968,48,Love Child,Diana Ross & The Supremes,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1023,1,11
1968,49,Reach Out Of The Darkness,Friend And Lover,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1018,10,14
1968,50,Jumpin' Jack Flash,The Rolling Stones,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1015,3,12
1968,51,MacArthur Park,Richard Harris,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1014,2,13
1968,52,I Love You,People,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1002,14,18
1968,53,"1, 2, 3, Red Light",1910 Fruitgum Co.,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music/f8/c5/3d/mzi.qxjhozyr.jpg/100x100bb.jpg,987,5,13
1968,54,Take Time To Know Her,Percy Sledge,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,983,11,14
1968,55,Grazing In The Grass,Hugh Masekela,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,983,1,12
1968,56,Pictures Of Matchstick Men,The Status Quo,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,975,12,17
1968,57,I Say A Little Prayer,Aretha Franklin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,970,10,13
1968,58,Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,960,8,13
1968,59,I Got The Feelin',James Brown And The Famous Flames,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,958,6,12
1968,60,Lady Madonna,Fats Domino,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,956,4,13
1968,61,I've Gotta Get A Message To You,Bee Gees,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,956,8,13
1968,62,Hurdy Gurdy Man,Donovan,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,952,5,12
1968,63,Bottle Of Wine,The Fireballs,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,943,9,13
1968,64,Stay In My Corner,The Dells,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,940,10,13
1968,65,Soul Serenade,Willie Mitchell,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,939,23,15
1968,66,Delilah,Tom Jones,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,932,15,15
1968,67,Green Tambourine,The Lemon Pipers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,930,1,10
1968,68,Nobody But Me,The Human Beinz,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,930,8,11
1968,69,I Thank You,Sam & Dave,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,928,9,13
1968,70,Judy In Disguise (With Glasses),John Fred And The Playboys,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,927,1,10
1968,71,The Fool On The Hill,Sergio Mendes & Brasil '66,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,923,6,12
1968,72,Sky Pilot (Part One),Eric Burdon & The Animals,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,922,14,14
1968,73,Indian Lake,The Cowsills,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,917,10,13
1968,74,I Wonder What She's Doing Tonite,Tommy Boyce & Bobby Hart,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,914,8,12
1968,75,Over You,Gary Puckett And The Union Gap,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,908,7,11
1968,76,Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,907,7,11
1968,77,The Unicorn,The Irish Rovers,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,905,7,12
1968,78,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,905,9,13
1968,79,You Keep Me Hangin' On,The Vanilla Fudge,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,905,6,12
1968,80,Revolution,The Beatles,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,901,12,11
1968,81,"Woman, Woman",The Union Gap Featuring Gary Puckett,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,889,4,10
1968,82,Elenore,The Turtles,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,888,6,12
1968,83,White Room,Cream,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,888,6,11
1968,84,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,887,7,12
1968,85,"Baby, Now That I've Found You",The Foundations,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,885,11,11
1968,86,Summertime Blues,Blue Cheer,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,880,14,13
1968,87,Sweet Inspiration,The Sweet Inspirations,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,878,18,14
1968,88,If You Can Want,Smokey Robinson & The Miracles,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,875,11,12
1968,89,Who's Making Love,Johnnie Taylor,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,868,5,10
1968,90,Cab Driver,The Mills Brothers,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,864,23,15
1968,91,Time Has Come Today,The Chambers Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,857,11,14
1968,92,"Abraham, Martin And John",Dion,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,851,4,10
1968,93,Do You Know The Way To San Jos��,Dionne Warwick,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,849,10,12
